Course,Name,Description,Prerequisites,Lab,Focus,Semester,ClassSize
Geog 100,Geography for Today,"Each topic stretches the geographical imagination by offering a new lens through which to view the relationship between people and the richly diverse and varied environments they inhabit. From the intimate personal places of one individual's human experience to the worldwide reach of global-scale physical environmental changes that impact everyone, the complex challenges and opportunities of today's world are illuminated with the help of an integrated spatial perspective. Topic may change from year to year.",May be taken more than once for credit in different topics.,,,Fall,100
Geog 101A,"Environment, Society & Sustainability","Introduction to the functioning of the biosphere, the ways in which humans alter natural processes, environmental consequences of these alterations and the implications for sustainability. Topics include: energy flows, biogeochemical cycles, ecosystem structure and dynamics, pollution, global change, water resources, biodiversity, endangered species, protected areas, agriculture and food, forestry, marine resources, poverty and development and different worldviews. Potential for a sustainable society is discussed.","Credit granted for only one of GEOG 101A, ES 101",Lab,Base,Fall Spring,110
Geog 101B,"Space, Place and Society","Perspectives on the scope and purpose of human geography, emphasizing approaches, concepts and scales of geographical analysis. Topics include: social geography of cities; interpretation of regional; cultural and economic landscapes; urbanization and industrialization of regions; and economic development and social change in the world system.",,Lab,Base,Fall Spring,132
Geog 103,Introduction to Physical Geography,"Introduces the science of Physical Geography using an earth-systems approach. Course themes include global climates and climate change, hydrology and water resources, geomorphology and natural hazards, and biogeography; with focus on how geographic sciences are applied to address real world issues.",,Lab,Base,Fall Spring,198
Geog 104,Our Digital Earth,"Introduces students to how geospatial technologies influence our daily lives and shape the world around us. Students learn how to collect and utilize location-based data, develop web maps and mobile mapping apps, create technologies to respond to environmental disasters and humanitarian crises, and think spatially in order to improve our understanding of our planet.","Credit granted for only one of GEOG 104, GEOG 100",,Base,Fall Spring,60
Geog 130,Climate Change,"An introduction to the fundamental physical principles governing the climate of the Earth system, and its response to anthropogenic factors. Topics include components of the climate system, radiative energy balance, forcings and feedbacks, the carbon cycle, climate of the past, impacts of climate change, global climate model projections, and approaches to mitigation and adaptation.",Cross-listed with EOS130 - Climate Change,Lab,Base,Fall Spring,186
Geog 209,Introduction to Environmental Management,"Introduces and critically interrogates approaches to the management or governance of environments and natural resources. Themes may include: parks and protected areas, fisheries, forestry, water and energy management; environmental impact assessment; comprehensive land-use and marine spatial planning; and urban sustainability, all in the context of profound political and environmental change, colonialism, and Indigenous resurgence.","Geog 101A, Geog 103",Lab,Environment,Fall,110
Geog 211,Political and Economic Geography,,,,,,
Geog 218,Social and Cultural Geography,,,,Urban,,
Geog 220,Weather and Climate,,,,,,
Geog 222,Introduction to Maps and GIS,,,,Geomatics,,
Geog 226,Introduction to Quantitative Methods in Geography,,,,Environment,,
Geog 227,Introduction to Qualitative Methods in Geography,,,,,,
Geog 228,Introduction to Remote Sensing,,,,Geomatics,,
Geog 230,Scientific Computing and Environmental Data Analysis ,,,,,,
Geog 252,Introduction to Coastal Geography,,,,,,
Geog 272,Introduction to Climatology and Hydrology,An investigation of the fundamental processes controlling climate and hydrology. Explores various factors and interactions that determine the spatial and temporal variations of individual climate elements. Special attention is given to the mutual interaction of climate with the Earth's surface and the role that ground surface type or cover plays in moderating local climate and hydrology.,,,Earth Systems,,
Geog 274,Introduction to Biogeography,"Examines the relationships among organisms - principally plants and animals - and their environment, emphasizing their distributions across a range of spatial and temporal scales. Examines basic ecological and evolutionary concepts affecting biogeographic processes of dispersal, speciation and extinction; how patterns of biodiversity change over space and time from early earth history to the contemporary environment; the nature of changing biotic distributions with increasing human impacts and global change.","Geog 101A, or Geog 103; Biology 12, or BIOL 150B recommended",,Environment,,
Geog 276,Introduction to Geomorphology,"Introduction to Earth surface process and landforms including riverine, desert, coastal, glacial, hillslope and permafrost environments. Focus on regional and Canadianlandscapes. Involves a field trip.",,,Earth Systems,,
Geog 301,Environmental Impact Assessment,,,,,,
Geog 303,Conservation and Ecology of Whales,,,,,,
Geog 304,Coastal Conservation,,,,,,
Geog 306,Geography of Canada,,,,,,
Geog 309,Geography of British Columbia,,,,,,
Geog 310,Global Migration,,,,,,
Geog 313,Field Studies in Mountain Meteorology,,,,,,
Geog 314,Global Environment Change and Human Response,,,,,,
Geog 315,Geocaching,,,,,,
Geog 316,Field Studies in Human Geography,,,,,,
Geog 317,Field Studies in Sustainable Communities,,,,,,
Geog 319,Remote Sensing of the Environment using Passive Sensors,,,,,,
Geog 322,Remote Sensing of the Environment using Active Sensors,,Geog 228,,Geomatics,,
Geog 323,Cartography,,,,,,
Geog 324,Directions in Geography,,,,,,
Geog 325,Field Surveying,,,,,,
Geog 328,GIS Analysis,,,,,,
Geog 329,GIS Applications and Tools,,,,,,
Geog 332,Urban Development in the Global South,,,,,,
Geog 339,Disaster Management and Community Resilience,,,,,,
Geog 340,Cities and Planning,,,,,,
Geog 346,"Health, Environment and Community",,,,,,
Geog 347B,Geographies of Development,,,,,,
Geog 353,Coastal and Marine Resource Management,,,,,,
Geog 357,Parks and Protected Areas,,,,,,
Geog 358,Landscape Ecology,"Landscape ecology emphasizes the interaction between spatial pattern and ecological processes. Focuses on the role of spatial heterogeneity across a range of scales. Focus is on the role of spatial heterogeneity in affecting the distribution and abundance of organisms, mass and energy transfers, and alterations of this structure by natural or anthropogenic forces. Implications for resource management and conservation are discussed.","One of Geog 272, Geog 274, Geog 276; Geog 274 recommended",,Earth Systems,,
Geog 370,Hydrology,"An overview of hydrological processes, measurement techniques and data analysis. The movement of water in the hydrologic cycle via precipitation, interception, evapotranspiration, surface runoff, infiltration, soil moisture, groundwater flow and streamflow generation are examined. Applied aspects and local examples will be discussed. Involves laboratory assignments and a field trip.",1.5 units of 100-level MATH recommended,,Earth Systems,,
Geog 371,Water Resources Management,,,,,,
Geog 373,Applied Climatology,A study of the application of physical principles to practical problems in climatology and the reciprocal interaction between climate and human activities. Topics include: urban effects on climate; air pollution; human bioclimatology; agricultural climatology; and methods of microclimatic modification.,,,Earth Systems,,
Geog 376,Process Geomorphology,"An investigation of the physical processes that create and maintain landforms. Focus on measurement and analysis of morphodynamic processes in fluvial, aeolian, coastal, glacial, hillslope, and/or periglacial landscapes (e.g., sediment transport, erosion, wind/wave energy, river discharge, glacial dynamics, weathering rates). Involves a field trip and/or a group project.",,,Earth Systems,,
Geog 380,Community Mapping,,,,,,
Geog 386,Contemporary Geopolitics,,,,,,
Geog 388,Topics in Regional Studies,,,,,,
Geog 391,Topics in Geography,,,,,,
Geog 404,Space and Power,,,,,,
Geog 405,Dynamics of the Cryosphere,,,,,,
Geog 406,Sustainable Cities,,,,,,
Geog 407,Activism and Community-Based Planning,,,,,,
Geog 409,Personal Space,,,,,,
Geog 411,Community-based Participatory Research,,,,,,
Geog 418,Advanced Spatial Analysis and Geo-statistics,,,,,,
Geog 420,Field Studies in Coastal Geomatics,,Geog 322,,Geomatics,,
Geog 420,Field Studies in Coastal Geomatics,,,,,,
Geog 422,Advanced Topics in Digital Remote Sensing,,Geog 322,,Geomatics,,
Geog 422,Advanced Topics in Remote Sensing,,,,,,
Geog 424,Field Studies in Coastal Geomorphology,"An advanced, field-based exploration of coastal geomorphic processes and landforms. Involves a weeklong field trip to local coastal sites where students apply geomorphic concepts and methods towards a series of independent research assignments and/or group projects. Areas of investigation will span nearshore to backshore environments and wave, tidal, fluvial/estuarine, and aeolian processes. A field trip fee may be applied.",,,Earth Systems,,
Geog 424,Field Studies in Coastal Geomorphology,,,,,,
Geog 428,Advanced Topics in Geographic Information Sciences,,,,,,
Geog 438,Aquaculture in British Columbia,,,,,,
Geog 450,Environment and Sustainability in Practice,,,,,,
Geog 453,Field Studies in Coastal and Marine Management,,,,,,
Geog 456,Wildlife Conservation,,,,,,
Geog 457,Marine Protected Areas,,,,,,
Geog 474,Field Studies in Biogeography,"A field-research course in biogeography based on a combination of reading, discussion, and data analysis. Involves a week-long field trip; a field trip fee may be applied.",,,Earth Systems,,
Geog 474,Field Studies in Biogeography,,,,,,
Geog 476,Advanced Studies in Geomorphology,"Focusing on various geomorphologic themes, students will complete a major research project based on field work to supplement lectures, seminars and field/lab projects.","Credit will be granted for only one of Geog 476, Geog 471C",,Earth Systems,,
Geog 476,Advanced Topics in Geomorphology,,,,,,
Geog 477,Field Studies in Physical Geography,"The nature of scientific research in physical geography is examined through field and laboratory techniques. Includes a week-long field camp where basic approaches, methodologies and techniques are used to prepare a series of reports based on field data and collected samples. A field trip fee may be applied.","One of Geog 274, Geog 358, Geog 370, Geog 373, Geog 376; department permission by March 15 of previous Winter Session; Credit granted for only one of Geog 477, Geog 471D",,Earth Systems,,
Geog 477,Field Studies in Physical Geography,,,,,,
Geog 484,Advanced Studies in Weather & Climate,Detailed examination of atmospheric structures and processes underlying weather and climate. Practical work focuses on analysis of vertical stability and utilizing computer weather model data.,"Prerequisites: 373, 374",,Earth Systems,,
Geog 484,Advanced Topics in Weather and Climate,,,,,,
Geog 487,Advanced Landscape Ecology,,,,,,
Geog 490,Directed Studies in Geography,,,,,,
Geog 491,Advanced Topics in Geography,,,,,,
Geog 499A,Honours Thesis,,,,,,
Geog 499B,Honours Thesis,,,,,,
