Task,Start,End,TotalTaskTime,TaskType,SummaryTotal,SummaryDay,Day,Date,MainTask,TotalTimeMin,TotalTimeHr
Data VUE Concept Maps,2023-01-06 3:40,2023-01-06 7:05,3h 25m 0s,Data viz,7h 11m 36s,Day 1: 2023-01-06: Dissect Interactive Dataviz,Day 1,2023-01-06,Dissect Interactive Dataviz,205,3.417
Disect Interactive Code,2023-01-06 9:00,2023-01-06 11:06,2h 6m 36s,Data viz,7h 11m 36s,Day 1: 2023-01-06: Dissect Interactive Dataviz,Day 1,2023-01-06,Dissect Interactive Dataviz,126,2.1
Email Job Acceptance etc,2023-01-06 12:40,2023-01-06 13:20,40m 0s,Admin,7h 11m 36s,Day 1: 2023-01-06: Dissect Interactive Dataviz,Day 1,2023-01-06,Dissect Interactive Dataviz,40,0.667
CSS Experiments; Wishlists,2023-01-06 2:00,2023-01-06 3:00,1h 0s,Experiment,7h 11m 36s,Day 1: 2023-01-06: Dissect Interactive Dataviz,Day 1,2023-01-06,Dissect Interactive Dataviz,60,1
Shiny template; data wrangle,2023-01-07 6:00,2023-01-07 7:45,1h 45m 0s,Data,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,105,1.75
Add .js html,2023-01-07 7:45,2023-01-07 8:30,45m 0s,Code,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,45,0.75
Add save .csv button,2023-01-07 9:45,2023-01-07 10:15,30m 0s,Code,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,30,0.5
App to Shiny Server,2023-01-07 10:30,2023-01-07 12:55,2h 25m 0s,Code,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,145,2.417
Add Concept Maps,2023-01-07 1:25,2023-01-07 1:45,20m 18s,Code,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,20,0.333
Create Time Log,2023-01-07 1:50,2023-01-07 3:20,1h 29m 42s,Admin,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,90,1.5
Questions to Ask,2023-01-07 1:50,2023-01-07 2:10,20m 0s,Questions,7h 35m 0s,Day 2: 2023-01-07: Start Shiny app,Day 2,2023-01-07,Start Shiny app,20,0.333
Refine app,2023-01-08 5:28,2023-01-08 5:35,6m 29s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,7,0.117
Nesting tabs attempts,2023-01-08 5:42,2023-01-08 7:00,1h 17m 42s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,78,1.3
Time Tracker Formatting,2023-01-08 7:00,2023-01-08 7:15,14m 30s,Admin,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,15,0.25
Nest Tabs working,2023-01-08 7:15,2023-01-08 7:35,20m 9s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,20,0.333
Save code; republish,2023-01-08 7:41,2023-01-08 7:47,5m 39s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,6,0.1
Nesting About tab,2023-01-08 9:21,2023-01-08 10:38,1h 17m 14s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,77,1.283
Styling background; add images,2023-01-08 10:46,2023-01-08 11:47,1h 20s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,61,1.017
Double-Nesting Troubles,2023-01-08 11:49,2023-01-08 12:59,1h 10m 35s,Code,10h 27m 35s,Day 3: 2023-01-08: Refining App,Day 3,2023-01-08,Refining App,70,1.167
