Photo_Table::Web,CommonName,FileNameOrigin,PhotoID_pi,FileName,Image,File Name_origin,DateYear_pi,DateMonth_pi,DateDay_pi,FIleName_Old_pi,Date,Time,File Path,DateSeason_txt_pi,DateSeason#_pi,DateYearDay_pi,Photo_Desc_pi,EXIF_FN_cal_pi,EXIF_AV_cal_pi,EXIF_Exp_pi,EXIF_FocalLength_cal_pi,PhotoAltTitle,EXIF_ISO_pi,EXIF_SS_cal_pi,Keywords_pi,LocationID_pi,Species,CommonName_pi,Name_Individual_Plant_Nickname,Name#_Individual,PhotographerName_auto_pi,Camera_Make_pi,LocDesc_pi,LatinName_pi,Camera_Model_pi,LocName,Photo_verify_pi,Photo_verify_OK_pi,Species_Table::NameAlt1,Photo_View,Photo_Quality,EcoType,Photo_Repeatable,Photo_Comparison,LocElevation_pi,Lat,LocElevation_pi_calc_2,Weather_pi,FlowerPhase,Long,LocSlope_pi,Flower#_pi,LocAspect_pi,Flower%_pi,FacilitiesManagement_pi,Lat_Long_pi,LeafPhase,Leaf%_pi,WebGallery_Done?_pi,Canopy%_pi,Dead_or_Alive_pi,WebGalleryHTML_pi,FieldNotes_pi,Associated_PlantsID_pi,Invasive_PlantsID_pi,ToDo_pi,Associated_AnimalsID_pi,Associated_BirdsID_pi,Associated_PhenomenaID_pi,Flower_Phase#_pi,Leaf_Phase#_pi,CreatedBy_pi,CreatedBy_Date_pi,Species_Table::FlowerShape,Species_Table::FlowerPetal#,Species_Table::FlowerColour,ModifiedBy_pi,ModifiedBy_Date_pi,Species_Table::LeafShape,Species_Table::LeafPerStem#,NameNoExt,FileNameTb
,Arbutus,arme_fw_2014_07_02_IMG_3556.jpg,278,arme_fw_2014_07_02_IMG_3556_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_fw_2014_07_02_IMG_3556_web.jpg,arme_fw_2014_07_02_IMG_3556.jpg,2014,7,2,3556,2014-07-02, 2:49:06 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_fw_2014_07_02_IMG_3556_web.jpg,0,4,183,,3.5,3.61471,160,4.5,"Arbutus, with Leaf Fall, and ??, at Fraser Woods, 2014-07-02.",640,5.906891,,0,arme,Arbutus,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,General,Overexposed,Forest,,,106310,48.464605,106,,??,-123.317067,,,,,,48.46460512,Leaf Fall,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/arme_fw_2014_07_02_IMG_3556_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/arme_fw_2014_07_02_IMG_3556_tb.jpg"" width=""180"" height=""135"" title=""Arbutus, with Leaf Fall, and ??, at Fraser Woods, 2014-07-02."" alt=""Arbutus, with Leaf Fall, and ??, at Fraser Woods, 2014-07-02."" class=""imgtb"" border=""1""></a><br>Jul 02, 2014<br>(fw)",,"Sword Fern
Dull Oregon-grape",English Ivy,,,,,0,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,arme_fw_2014_07_02_IMG_3556,arme_fw_2014_07_02_IMG_3556_tb.jpg
,Arbutus,arme_mv_2014_07_02_IMG_3643.jpg,342,arme_mv_2014_07_02_IMG_3643_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_mv_2014_07_02_IMG_3643_web.jpg,arme_mv_2014_07_02_IMG_3643.jpg,2014,7,2,3643,2014-07-02, 5:15:01 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_mv_2014_07_02_IMG_3643_web.jpg,0,4,183,,3.5,3.61471,1160,4.5,"Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02.",160,7.321928,,0,arme,Arbutus,,,Wendy Anthony,0,,0,280,Mystic Vale,,,,Individual,Overexposed,Forest,,,721,48.461653,72,,??,-123.301155,,,,,,48.46165312,Leaf Fall,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/arme_mv_2014_07_02_IMG_3643_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/arme_mv_2014_07_02_IMG_3643_tb.jpg"" width=""180"" height=""135"" title=""Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02."" alt=""Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02."" class=""imgtb"" border=""1""></a><br>Jul 02, 2014<br>(mv)",,Bigleaf Maple,,,,,,0,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,arme_mv_2014_07_02_IMG_3643,arme_mv_2014_07_02_IMG_3643_tb.jpg
,Arbutus,arme_mv_2014_07_02_IMG_3645.jpg,363,arme_mv_2014_07_02_IMG_3645_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_mv_2014_07_02_IMG_3645_web.jpg,arme_mv_2014_07_02_IMG_3645.jpg,2014,7,2,3645,2014-07-02, 5:17:35 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/arme_mv_2014_07_02_IMG_3645_web.jpg,0,4,183,,3.5,3.61471,120,4.5,"Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02.",1250,4.321928,,0,arme,Arbutus,,,Wendy Anthony,0,,0,280,Mystic Vale,,,,Closeup,OK,Forest,,,71910,48.46172,71,,??,-123.30127,,,,,,48.46172012,Leaf Fall,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/arme_mv_2014_07_02_IMG_3645_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/arme_mv_2014_07_02_IMG_3645_tb.jpg"" width=""180"" height=""135"" title=""Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02."" alt=""Arbutus, with Leaf Fall, and ??, at Mystic Vale, 2014-07-02."" class=""imgtb"" border=""1""></a><br>Jul 02, 2014<br>(mv)",,Bird Cherry,English Ivy,,,,,0,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,arme_mv_2014_07_02_IMG_3645,arme_mv_2014_07_02_IMG_3645_tb.jpg
,Bird Cherry,oece_bc9_2010_02_16_IMG_5545.jpg,96,oece_bc9_2010_02_16_IMG_5545_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2010_02_16_IMG_5545_web.jpg,oece_bc9_2010_02_16_IMG_5545.jpg,2010,2,16,5545,2010-02-16, 6:47:42 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2010_02_16_IMG_5545_web.jpg,0,2,47,,2.7,2.865919,113,6,"Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2010-02-16.",,3.70044,,9,oece,Bird Cherry,,,Wendy Anthony,0,,0,3,Bowker Creek Parking Lot 9,,,"Indian Plum
June Plum",,,,,,,48.464528,,,,-123.317753,,,,,,48.46452812,,,,,,"<a name=""Late Winter2010""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2010_02_16_IMG_5545_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2010_02_16_IMG_5545_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2010-02-16."" alt=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2010-02-16."" class=""imgtb"" border=""1""></a><br>Feb 16, 2010<br>(bc9)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_bc9_2010_02_16_IMG_5545,oece_bc9_2010_02_16_IMG_5545_tb.jpg
,Bird Cherry,oece_bc9_2014_03_22_IMG_4985.jpg,97,oece_bc9_2014_03_22_IMG_4985_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_03_22_IMG_4985_web.jpg,oece_bc9_2014_03_22_IMG_4985.jpg,2014,3,22,4985,2014-03-22,12:50:48 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_03_22_IMG_4985_web.jpg,0,3,81,,4,4,1200,9.2,"Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-03-22.",400,7.643856,,9,oece,Bird Cherry,,,Wendy Anthony,0,,0,280,Bowker Creek Parking Lot 9,,,"Indian Plum
June Plum",,,,,,,48.464747,,,,-123.31812,,,,,,48.46474712,,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_03_22_IMG_4985_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_03_22_IMG_4985_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-03-22."" alt=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-03-22."" class=""imgtb"" border=""1""></a><br>Mar 22, 2014<br>(bc9)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_bc9_2014_03_22_IMG_4985,oece_bc9_2014_03_22_IMG_4985_tb.jpg
,Bird Cherry,oece_bc9_2014_06_23_IMG_2305.jpg,237,oece_bc9_2014_06_23_IMG_2305_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_06_23_IMG_2305_web.jpg,oece_bc9_2014_06_23_IMG_2305.jpg,2014,6,23,2305,2014-06-23, 5:00:06 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_06_23_IMG_2305_web.jpg,0,4,174,,3.5,3.61471,130,4.5,"Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23.",160,4.906891,,9,oece,Bird Cherry,,,Wendy Anthony,0,,0,280,Bowker Creek Parking Lot 9,,,"Indian Plum
June Plum",,,,,,,48.464633,,,,-123.318137,,,,,,48.46463312,,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_06_23_IMG_2305_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_06_23_IMG_2305_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23."" alt=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23."" class=""imgtb"" border=""1""></a><br>Jun 23, 2014<br>(bc9)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_bc9_2014_06_23_IMG_2305,oece_bc9_2014_06_23_IMG_2305_tb.jpg
,Bird Cherry,oece_bc9_2014_06_23_IMG_2319.jpg,236,oece_bc9_2014_06_23_IMG_2319_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_06_23_IMG_2319_web.jpg,oece_bc9_2014_06_23_IMG_2319.jpg,2014,6,23,2319,2014-06-23, 5:02:02 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bc9_2014_06_23_IMG_2319_web.jpg,0,4,174,,4,4,180,10.2,"Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23.",640,6.321928,,9,oece,Bird Cherry,,,Wendy Anthony,0,,0,280,Bowker Creek Parking Lot 9,,,"Indian Plum
June Plum",,,,,,40710,48.464633,40,,,-123.318137,,,,,,48.46463312,,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_06_23_IMG_2319_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_bc9_2014_06_23_IMG_2319_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23."" alt=""Bird Cherry, with , and , at Bowker Creek Parking Lot 9, 2014-06-23."" class=""imgtb"" border=""1""></a><br>Jun 23, 2014<br>(bc9)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_bc9_2014_06_23_IMG_2319,oece_bc9_2014_06_23_IMG_2319_tb.jpg
,Bird Cherry,oece_bct_2009_03_26_IMG_4914.jpg,98,oece_bct_2009_03_26_IMG_4914_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bct_2009_03_26_IMG_4914_web.jpg,oece_bct_2009_03_26_IMG_4914.jpg,2009,3,26,4914,2009-03-26, 6:00:51 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_bct_2009_03_26_IMG_4914_web.jpg,0,3,85,"Uni 201 ethnobotany walk with Brenda Beckwith; Indian Plum sex education, showing difference between male and female flowers, at side of Bowker Creek Alumni Trail,",2.7,2.865919,115,6,"Bird Cherry, with , and , at Bowker Creek Trail, 2009-03-26.",,3.906891,"IndianPlum,Spring,BCT,2009,March,Flower Open,EBW",0,oece,Bird Cherry,,,Wendy Anthony,0,,0,3,Bowker Creek Trail,,,"Indian Plum
June Plum",,,,,,,48.466665,,"cool, cloudy",,-123.318357,,,,,,48.46666512,,,,,,"<a name=""Spring2009""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_bct_2009_03_26_IMG_4914_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_bct_2009_03_26_IMG_4914_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Bowker Creek Trail, 2009-03-26."" alt=""Bird Cherry, with , and , at Bowker Creek Trail, 2009-03-26."" class=""imgtb"" border=""1""></a><br>Mar 26, 2009<br>(bct)","Indian Plum sex education, showing difference between male and female flowers, at side of Bowker Creek Alumni Trail,",,,,,,Wendy's Hand,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_bct_2009_03_26_IMG_4914,oece_bct_2009_03_26_IMG_4914_tb.jpg
,Bird Cherry,oece_gom_2014_05_27_IMG_4029.jpg,99,oece_gom_2014_05_27_IMG_4029_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_gom_2014_05_27_IMG_4029_web.jpg,oece_gom_2014_05_27_IMG_4029.jpg,2014,5,27,4029,2014-05-27, 2:31:46 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_gom_2014_05_27_IMG_4029_web.jpg,0,3,147,,4,4,160,6.3,"Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27.",160,5.906891,,0,oece,Bird Cherry,,,Wendy Anthony,0,,0,280,Garry Oak Meadow,,,"Indian Plum
June Plum",,,,,,55910,48.461333,55,,,-123.319413,,,,,,48.46133312,,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_gom_2014_05_27_IMG_4029_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_gom_2014_05_27_IMG_4029_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27."" alt=""Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27."" class=""imgtb"" border=""1""></a><br>May 27, 2014<br>(gom)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_gom_2014_05_27_IMG_4029,oece_gom_2014_05_27_IMG_4029_tb.jpg
,Bird Cherry,oece_gom_2014_05_27_IMG_4030.jpg,100,oece_gom_2014_05_27_IMG_4030_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_gom_2014_05_27_IMG_4030_web.jpg,oece_gom_2014_05_27_IMG_4030.jpg,2014,5,27,4030,2014-05-27, 2:31:53 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/oece_gom_2014_05_27_IMG_4030_web.jpg,0,3,147,,4.5,4.33985,150,14.2,"Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27.",200,5.643856,,0,oece,Bird Cherry,,,Wendy Anthony,0,,0,280,Garry Oak Meadow,,,"Indian Plum
June Plum",,,,,,55910,48.461337,55,,,-123.319412,,,,,,48.46133712,,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/oece_gom_2014_05_27_IMG_4030_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/oece_gom_2014_05_27_IMG_4030_tb.jpg"" width=""180"" height=""135"" title=""Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27."" alt=""Bird Cherry, with , and , at Garry Oak Meadow, 2014-05-27."" class=""imgtb"" border=""1""></a><br>May 27, 2014<br>(gom)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,"Pointed
Alternate
Smooth Edge",1,oece_gom_2014_05_27_IMG_4030,oece_gom_2014_05_27_IMG_4030_tb.jpg
