"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-01","2022","01","01","","3.5","","-12.4","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","19","","13","","49",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-02","2022","01","02","","7.1","","2.5","","4.8","","13.2","","0.0","","10.2","","0.0","","10.2","","10","","14","","58",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-03","2022","01","03","","5.1","","1.1","","3.1","","14.9","","0.0","","6.4","","0.0","T","6.4","","","","25","","58",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-04","2022","01","04","","5.0","","1.0","","3.0","","15.0","","0.0","","5.0","","0.0","","5.0","","","","21","","44",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-05","2022","01","05","","2.0","","-1.1","","0.5","","17.5","","0.0","","0.0","","7.0","","7.0","","0","T","6","","43",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-06","2022","01","06","","6.9","","-1.2","","2.9","","15.1","","0.0","","14.5","","21.0","","35.5","","26","","5","","48",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-07","2022","01","07","","5.9","","-2.7","","1.6","","16.4","","0.0","","3.9","","0.0","","3.9","","11","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-08","2022","01","08","","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","6","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-09","2022","01","09","","6.9","","-1.3","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-10","2022","01","10","","8.9","","-1.4","","3.8","","14.2","","0.0","","0.8","","0.0","","0.8","","3","","11","","41",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-11","2022","01","11","","9.4","","5.5","","7.5","","10.5","","0.0","","24.4","","0.0","","24.4","","","","19","","48",""
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-12","2022","01","12","","10.8","","6.5","","8.7","","9.3","","0.0","","13.4","","0.0","","13.4","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-13","2022","01","13","","8.9","","5.6","","7.3","","10.7","","0.0","","1.3","","0.0","","1.3","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-14","2022","01","14","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-15","2022","01","15","","6.5","","4.3","","5.4","","12.6","","0.0","","0.3","","0.0","","0.3","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-16","2022","01","16","","6.4","","5.1","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-123.43","48.65","VICTORIA INTL A","1018621","2022-01-17","2022","01","17","","7.1","","4.6","","5.9","","12.1","","0.0","","2.1","","0.0","","2.1","","","","","M","","M"
