Key,Tuning,Tune,aka,Parts,Composer,Player,Album,MP3_1,MP3_2,MP3_3,MP3_4,Video_1,Video_2,Video_3,Video_4,Lyrics,Source,Dates,Notes,NeedChangeOnWebsite,pdf,Info,Order,Modal
A,AEAE,Arnold Van Pelt's Tune,,,,,,,,,,https://www.youtube.com/watch?v=MkYJblMmAj8,,,,,Coral,Se 20; Oc 25 2008-2009; 2010:,,,,,1,
A,AEAE,Back in '89,,,,,,,,,,,,,,,Jesse,,,,,,1,
A,AEAC#,Bibb County Hoedown,,,,,,,,,,http://www.youtube.com/watch?v=_bDcIKc6edM,,,,,,24 May 2008-2009; 2010:,,,,,1,
A,AEAE,Big-Eyed Rabbit,,,,,,https://www.slippery-hill.com/recording/big-eyed-rabbit,,,,,,,,,,,,,,,1,
A,AEAE,Big Hoedown,,,,,,https://www.slippery-hill.com/recording/big-hoedown-0,,,,,,,,,Pringle,2009,,,,,1,
A,AEAE,Bill Cheatum,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Blind Steer In A Mud Hole,,,,,,,,,,,,,,,,2008-2009; 2010:,,,,,1,
A,AEAE,Boatman,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Bob-tailed Mule,Buckin' Dun,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Booth Shot Lincoln,,,,,,http://sites.google.com/site/spiraloldtime/#A,,,,http://www.youtube.com/watch?gl=GB&hl=en-GB&v=HMqnSNpNgrk,,,,,,,,,,,1,
A,AEAE,Black Jack Grove,,,,,,,,,,http://www.youtube.com/watch?v=BOix0Y5GEIg,,,,,,,,,,,1,
A,AEAE,Breaking Up Christmas,,,,,,http://www.fiddlehangout.com/myhangout/music-search.asp?searchTitle=breakin,,,,,,,,Music/BreakingUpChristmas.txt,,,,,,,1,
A,AEAE,Buckin' Dun,Bob-tailed Mule,,,Rayna Gellert,Starch & Iron,http://itunes.apple.com/us/album/starch-iron/id289843376,,,,http://www.youtube.com/watch?v=AQKWAcDvzgc,,,,,Coral,,,,,,1,
A,AEAE,Bucking Mules,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Buffalo Gals,,,,Bruce Molsky,,https://www.slippery-hill.com/recording/buffalo-gals-0,http://stringband.mossyroof.com/#Atunes,,,http://www.youtube.com/watch?gl=GB&hl=en-GB&v=ITJo098mmhI,,,,,,,video in G,,,,1,
A,AEAE,Bull At The Wagon,,,,,,http://www.fiddlehangout.com/myhangout/music.asp?id=85&musicid=104,,,,,,,,,,,,,,,1,
A,AEAE,Bunch of Keys,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Cajun Fiddle,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Callahan,,,,Bruce Molsky,Poor Man's Troubles,,,,,,,,,,,,,,,,1,
A,AEAE,Callahan's Reel,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Candy Girl,,,,,,,,,,http://www.youtube.com/watch?v=I5h3PQNAg7g,https://www.youtube.com/watch?v=N68qOS57Rr4&list=PLJqDg9De7XgK5RHqkOM02kd1cw73_8L9c&index=1,,,,,,,,,,1,
A,GDGD,Chicken & Dumplings ,,B part x3,,,,,,,,http://www.youtube.com/watch?v=7Nj-4Idejoc,,,,,,,,,,,1,
A,AEAE,Chinquapin ,,,,,,http://sites.google.com/site/spiraloldtime/#A,,,,http://www.youtube.com/watch?v=m4C_GEI8ykw,,,,,,,,,,,1,
A,AEAE,Chinquapin Hunting ,,3 pts; crooked,,Bruce Molsky,,http://stringband.mossyroof.com/#Atunes,,,,https://www.youtube.com/watch?v=TYS7xyNW8Mc,,,,,,,,,,,1,
A,AEAE,Cotton-Eyed Joe,,,,,,,,,,http://www.cduniverse.com/search/xx/music/pid/1040686/a/Legacy+Of+Tommy+Jarrell+Vol+1:+Sail+Away+Ladies.htm,,,,,,,,,,,1,
A,AEAE,Creeks All Muddy and the Pond's All Dry ,,,,,,https://www.slippery-hill.com/recording/springs-all-muddy-ponds-all-dry,,,,https://www.youtube.com/watch?v=5q_Pu6jxt0I,,,,,,,,,,,1,
A,AEAE,Cripple Creek,,,,,,,,,,,,,,,,,,,,,1,
A,AEAE,Crow Creek ,,,,,,http://sites.google.com/site/spiraloldtime/#A,,,,https://www.youtube.com/watch?v=KoIsx_dYNaQ,,,,,,,,,,,1,
A,AEAE,Crow Little Rooster ,,,,,,http://stringband.mossyroof.com/#Atunes,,,,,,,,,,,,,,,1,
A,AEAE,Cumberland Gap ,,,,,,http://www.fiddlehangout.com/myhangout/music.asp?id=160&musicid=205,,,,,,,,,,,,,,,1,
